This is our final result, combined different p+p methods as well as the flow effect.
pt	y	ey
0.0158489	0.176372	0.176041
0.0160899	0.176652	0.176323
0.0163346	0.176924	0.176596
0.016583	0.177188	0.176861
0.0168351	0.177442	0.177116
0.0170911	0.177687	0.177362
0.017351	0.177923	0.177598
0.0176148	0.178147	0.177823
0.0178827	0.178361	0.178038
0.0181546	0.178564	0.178242
0.0184306	0.178755	0.178434
0.0187109	0.178935	0.178614
0.0189954	0.179102	0.178782
0.0192842	0.179256	0.178937
0.0195774	0.179397	0.179079
0.0198751	0.179524	0.179207
0.0201773	0.179637	0.17932
0.0204842	0.179735	0.17942
0.0207956	0.179819	0.179505
0.0211118	0.179887	0.179573
0.0214329	0.17994	0.179627
0.0217588	0.179976	0.179664
0.0220896	0.179997	0.179685
0.0224255	0.18	0.179689
0.0227665	0.179986	0.179675
0.0231127	0.179954	0.179644
0.0234641	0.179904	0.179595
0.0238209	0.179836	0.179527
0.0241831	0.179749	0.179441
0.0245508	0.179643	0.179336
0.0249241	0.179517	0.17921
0.0253031	0.179372	0.179066
0.0256879	0.179206	0.1789
0.0260785	0.17902	0.178715
0.026475	0.178814	0.178509
0.0268776	0.178586	0.178281
0.0272863	0.178337	0.178033
0.0277012	0.178066	0.177762
0.0281224	0.177773	0.17747
0.02855	0.177458	0.177155
0.0289841	0.177121	0.176818
0.0294248	0.176761	0.176458
0.0298723	0.176378	0.176075
0.0303265	0.175972	0.17567
0.0307876	0.175542	0.17524
0.0312558	0.175089	0.174788
0.031731	0.174612	0.174311
0.0322135	0.174112	0.173811
0.0327033	0.173587	0.173286
0.0332006	0.173038	0.172737
0.0337054	0.172465	0.172164
0.034218	0.171867	0.171567
0.0347383	0.171245	0.170944
0.0352665	0.170598	0.170298
0.0358027	0.169927	0.169627
0.0363471	0.169231	0.168931
0.0368998	0.168511	0.16821
0.0374609	0.167765	0.167464
0.0380305	0.166995	0.166694
0.0386088	0.1662	0.165899
0.0391958	0.165381	0.165079
0.0397918	0.164537	0.164235
0.0403969	0.163668	0.163366
0.0410112	0.162775	0.162472
0.0416348	0.161857	0.161554
0.0422678	0.160915	0.160612
0.0429105	0.15995	0.159646
0.043563	0.15896	0.158656
0.0442254	0.157946	0.157642
0.0448979	0.156909	0.156605
0.0455806	0.155849	0.155544
0.0462737	0.154766	0.15446
0.0469773	0.153659	0.153353
0.0476916	0.15253	0.152224
0.0484168	0.151379	0.151072
0.049153	0.150206	0.149898
0.0499004	0.149012	0.148703
0.0506592	0.147796	0.147486
0.0514295	0.146559	0.146249
0.0522115	0.145301	0.14499
0.0530054	0.144024	0.143712
0.0538114	0.142727	0.142414
0.0546296	0.14141	0.141096
0.0554603	0.140075	0.13976
0.0563036	0.138721	0.138406
0.0571597	0.13735	0.137033
0.0580289	0.135961	0.135643
0.0589112	0.134556	0.134237
0.059807	0.133134	0.132814
0.0607164	0.131696	0.131375
0.0616396	0.130244	0.129922
0.0625769	0.129364	0.12904
0.0635284	0.129174	0.128849
0.0644944	0.12898	0.128653
