This is the maximal cover of three p-p methods.
pt	y	ey
0.0158489	0.0311661	0.113741
0.0160899	0.03107	0.11191
0.0163346	0.0309693	0.110074
0.016583	0.030864	0.108235
0.0168351	0.0307542	0.106393
0.0170911	0.0306401	0.104548
0.017351	0.0305218	0.102702
0.0176148	0.0303992	0.100855
0.0178827	0.0302726	0.0990074
0.0181546	0.0301421	0.0971603
0.0184306	0.0300077	0.0953142
0.0187109	0.0298696	0.0934696
0.0189954	0.0297279	0.0916274
0.0192842	0.0295828	0.0897881
0.0195774	0.0294343	0.0879524
0.0198751	0.0292825	0.086121
0.0201773	0.0291277	0.0842945
0.0204842	0.0289699	0.0824735
0.0207956	0.0288093	0.0806588
0.0211118	0.028646	0.0788509
0.0214329	0.0284801	0.0770506
0.0217588	0.0283119	0.0752583
0.0220896	0.0281413	0.0734749
0.0224255	0.0279686	0.0717008
0.0227665	0.0277938	0.0699368
0.0231127	0.0276173	0.0681834
0.0234641	0.027439	0.0664413
0.0238209	0.0272591	0.0647109
0.0241831	0.0270777	0.0629931
0.0245508	0.0268951	0.0612882
0.0249241	0.0267113	0.0595969
0.0253031	0.0265265	0.0579197
0.0256879	0.0263408	0.0562572
0.0260785	0.0261544	0.0546099
0.026475	0.0259674	0.0529784
0.0268776	0.0257799	0.051363
0.0272863	0.0255921	0.0497644
0.0277012	0.0254041	0.0481829
0.0281224	0.025216	0.0466192
0.02855	0.025028	0.0450735
0.0289841	0.0248402	0.0435463
0.0294248	0.0246528	0.0420381
0.0298723	0.0244658	0.0405493
0.0303265	0.0242795	0.0390801
0.0307876	0.0240938	0.0376312
0.0312558	0.0239091	0.0362027
0.031731	0.0237253	0.034795
0.0322135	0.0235426	0.0334086
0.0327033	0.0233612	0.0320437
0.0332006	0.0231811	0.0307008
0.0337054	0.0230025	0.0293801
0.034218	0.0228255	0.0280821
0.0347383	0.0226503	0.0268071
0.0352665	0.0224768	0.0255556
0.0358027	0.0223054	0.024328
0.0363471	0.022136	0.0231248
0.0368998	0.0219689	0.0219466
0.0374609	0.021804	0.0207939
0.0380305	0.0216416	0.0196674
0.0386088	0.0214818	0.0185681
0.0391958	0.0213246	0.0174968
0.0397918	0.0211702	0.0164546
0.0403969	0.0210187	0.0154429
0.0410112	0.0208701	0.0144633
0.0416348	0.0207247	0.0135177
0.0422678	0.0203957	0.0127953
